"ID_Predators_individuals" "ID_species" "Lifestage" "Sex" "Length" "stomach_part" "number_of_prey" "total_weight_g" "latin_name" "ID_sampling" "station_name" "dates"
1 6 2 20 24 "Mitteldarm" 1 1 "Diastylis rathkei" 1 "Vejsnäs Rinne" "1971-03-03"
2 6 1 10 16 "Vorderdarm oder Magen" 1 1 "Diastylis rathkei" 1 "Vejsnäs Rinne" "1971-03-03"
2 6 1 10 16 "Mitteldarm" 17 19 "Diastylis rathkei" 1 "Vejsnäs Rinne" "1971-03-03"
3 6 NA 10 15 "Vorderdarm oder Magen" 1 1 "Diastylis rathkei" 2 "Vejsnäs Rinne" "1971-03-04"
3 6 NA 10 15 "Mitteldarm" NA 2 "Macerated" 2 "Vejsnäs Rinne" "1971-03-04"
3 6 NA 10 15 "Mitteldarm" 19 25 "Diastylis rathkei" 2 "Vejsnäs Rinne" "1971-03-04"
3 6 NA 10 15 "Mitteldarm" 1 10 "Crangon crangon" 2 "Vejsnäs Rinne" "1971-03-04"
5 6 NA 10 19 "Vorderdarm oder Magen" 1 10 "Pomatoschistus minutus" 2 "Vejsnäs Rinne" "1971-03-04"
5 6 NA 10 19 "Mitteldarm" NA 9 "Macerated" 2 "Vejsnäs Rinne" "1971-03-04"
5 6 NA 10 19 "Vorderdarm oder Magen" 1 2 "Diastylis rathkei" 2 "Vejsnäs Rinne" "1971-03-04"
6 6 3 10 19 "Mitteldarm" NA 2 "Macerated" 3 "Vejsnäs Rinne" "1971-04-15"
6 6 3 10 19 "Mitteldarm" 26 31 "Diastylis rathkei" 3 "Vejsnäs Rinne" "1971-04-15"
7 6 4 20 19 "Vorderdarm oder Magen" 1 2 "Diastylis rathkei" 3 "Vejsnäs Rinne" "1971-04-15"
7 6 4 20 19 "Mitteldarm" 50 94 "Diastylis rathkei" 3 "Vejsnäs Rinne" "1971-04-15"
8 6 1 10 23 "Vorderdarm oder Magen" 1 1 "Diastylis rathkei" 4 "Millionenviertel" "1971-05-03"
8 6 1 10 23 "Mitteldarm" 28 32 "Diastylis rathkei" 4 "Millionenviertel" "1971-05-03"
8 6 1 10 23 "Mitteldarm" NA 7 "Macerated" 4 "Millionenviertel" "1971-05-03"
9 6 1 20 24 "Vorderdarm oder Magen" 1 NA "Microdeutopus sp." 4 "Millionenviertel" "1971-05-03"
9 6 1 20 24 "Vorderdarm oder Magen" 7 11 "Diastylis rathkei" 4 "Millionenviertel" "1971-05-03"
9 6 1 20 24 "Mitteldarm" 60 78 "Diastylis rathkei" 4 "Millionenviertel" "1971-05-03"
9 6 1 20 24 "Mitteldarm" NA 12 "Macerated" 4 "Millionenviertel" "1971-05-03"
9 6 1 20 24 "Mitteldarm" 1 3 "Abra alba" 4 "Millionenviertel" "1971-05-03"
10 6 1 10 20 "Mitteldarm" 13 19 "Diastylis rathkei" 4 "Millionenviertel" "1971-05-03"
10 6 1 10 20 "Mitteldarm" NA 9 "Macerated" 4 "Millionenviertel" "1971-05-03"
10 6 1 10 20 "Mitteldarm" NA 32 "Ophiura albida" 4 "Millionenviertel" "1971-05-03"
10 6 1 10 20 "Mitteldarm" 1 1 "Gastosaccus spinifer" 4 "Millionenviertel" "1971-05-03"
11 6 1 10 15 "Vorderdarm oder Magen" 1 3 "Harmothoe spp." 4 "Millionenviertel" "1971-05-03"
