GUTS,Class,weight
Abra alba,Bivalvia,0.8
Aloidis gibba,Bivalvia,0.8
Amphicteis gunneri,Polychaeta,1
Amphipoda spp.,Malacostraca,1
Anaitides spp.,Polychaeta,1
Anthozoa spp.,Anthozoa,1
Aphia minuta,ActinopterygiiÂ ,0.8
Aphroditidae spp.,Polychaeta,1
Arenicola marina,Polychaeta,1
Ascidiacea spp.,Ascidiacea,1
Astarte spp.,Bivalvia,0.8
Balanus spp.,Hexanauplia,0.8
Brada villosa,Polychaeta,1
Capitella capitata,Polychaeta,1
Carcinus maenas,Malacostraca,0.8
Cardium fasciatum,Bivalvia,0.8
Castalia punctata,Polychaeta,1
Clupea harengus,ActinopterygiiÂ ,0.8
Clupeidae spp. Reste,NA,NA
Corophium spp.,Malacostraca,1
Crangon crangon,Malacostraca,0.8
Cumacea spp.,Malacostraca,1
Mysidacea spp.,Malacostraca,0.8
Cyprina islandica,Bivalvia,0.8
Diastylis rathkei,Malacostraca,1
Disoma multisectosum,Polychaeta,1
Euchone papillosa,Polychaeta,1
Fish offal (Fischereireste),NA,1
Gastosaccus spinifer,Malacostraca,0.8
Gobiidae spp.,ActinopterygiiÂ ,0.8
Halicryptus spinolosus,Halicryptomorpha,0.8
Harmothoe imbricata,Polychaeta,1
Harmothoe spp.,Polychaeta,1
Hyperia galba,Malacostraca,1
Idothea spp.,Malacostraca,0.8
Isopoda spp.,Malacostraca,0.8
Limanda limanda,ActinopterygiiÂ ,0.8
Macoma spp.,Bivalvia,0.8
Metridium senile,Anthozoa,0.8
Microdeutopus sp.,Malacostraca,1
Musculus spp.,Bivalvia,0.8
"Mya truncata, Mya arenaria",Bivalvia,0.8
Mysis mixta,Malacostraca,0.8
Mytilus edulis,Bivalvia,0.8
Nemertea spp.,Nemertea,1
Nephthys spp.,Polychaeta,1
"Not animals, div.",NA,1
Nucula nitida,Bivalvia,0.8
Ophiura albida,Ophiuroidea,0.8
Other Decapoda,Decapoda,0.8
Other Gastropoda,Gastropoda,0.8
Other Polychaeta ,Polychaeta,1
Pectinaria koreni,Polychaeta,1
Phaxas pellucidus,Bivalvia,0.8
Pherusa plumosa,Polychaeta,1
"Phtisica marina, Caprella",Malacostraca,1
Pisces spp.,ActinopterygiiÂ ,0.8
Pleuronectiformes spp.,ActinopterygiiÂ ,0.8
Polydora sp.,Polychaeta,1
Pomatoschistus minutus,ActinopterygiiÂ ,0.8
Priapulus caudatus,Priapulida,1
Saxicava arctica,Bivalvia,0.8
Scoloplos armiger,Polychaeta,1
Siphons,NA,1
Spionidae spp.,Polychaeta,1
Terebellides stroemi,Polychaeta,1
Thyonidium pellucidum,Holothuroidea,0.8
Unidentified crustacean remains,NA,1
Unidentified Polychaeta remains,NA,1
Various Bivalvia,NA,0.8
Various Groups,NA,1
