"dates" "Salinity" "Temperature"
"1968-01-01" 17.208 1.9
"1968-02-01" 15.953 1.3
"1968-03-01" 15.121 1.9
"1968-04-01" 16.366 3.8
"1968-05-01" 14.25 5.3
"1968-06-01" 10.849 8.8
"1968-07-01" 13.51 11.6
"1968-08-01" 13.438 12.6
"1968-09-01" 13.8 13.1
"1968-10-01" 19.975 11.5
"1968-11-01" 20.616 9.2
"1968-12-01" 18.375 5.8
"1969-01-01" 18.075 3.4
"1969-02-01" 17.636 2.1
"1969-03-01" 17.3 0.4
"1969-04-01" 16.114 2.8
"1969-05-01" 15.291 5.1
"1969-06-01" 14.75 7.7
"1969-07-01" 15.6 10.7
"1969-10-01" 17.425 12.3
"1969-11-01" 19.55 8.8
"1969-12-01" 21.333 4.2
"1970-01-01" 15.8 0.4
"1970-04-01" 17.425 2
"1970-05-01" 15.475 5.2
"1970-06-01" 13.352 8.1
"1970-07-01" 18.105 10.3
"1970-12-01" 11.301 6.4
"1971-06-01" 11.916 9.6
"1971-09-01" 16.18 15
"1971-12-01" 20.936 5.2
"1972-01-01" 19.73 2.5
"1972-03-01" 16.209 1.9
"1972-05-01" 14.412 6
"1972-06-01" 18.29 8.2
"1975-01-01" 20.55 5
"1975-02-01" 12.384 4.8
"1975-03-01" 11.389 4.5
"1975-04-01" 12.866 4.4
"1975-05-01" 14.9 7.8
"1975-07-01" 13.09 11.6
"1975-08-01" 14.245 12.8
"1975-09-01" 14.879 14.2
"1975-10-01" 18.333 13.2
"1975-11-01" 17.973 9.3
"1976-01-01" 24.2 3.7
"1976-02-01" 14.73 1.4
"1976-03-01" 16.1 1.6
"1976-05-01" 9.21 5.7
"1976-07-01" 12.935 11.1
"1976-08-01" 14.032 15
"1976-09-01" 13.668 15.2
"1976-10-01" 14.505 12.6
"1976-11-01" 17.678 8.8
"1976-12-01" 26.876 5.1
"1977-01-01" 16.625 1.7
"1977-02-01" 14.152 1.4
"1977-03-01" 17.887 2.2
"1977-04-01" 18.289 4.2
"1977-05-01" 13.45 5.9
"1977-06-01" 13.359 7.5
"1977-07-01" 15.266 11.6
"1977-08-01" 12.031 12
"1977-09-01" 14.411 12.8
"1977-10-01" 16.615 12.3
"1977-11-01" 21.479 9.5
"1977-12-01" 15.103 5.7
"1978-01-01" 19.332 3.7
"1978-02-01" 12.05 1.8
"1978-03-01" 17.404 1.9
"1978-04-01" 14.695 3.1
"1978-05-01" 12.656 6.1
"1978-06-01" 16.325 11.3
"1978-07-01" 18.345 9.1
"1978-08-01" 16.391 12.2
"1978-09-01" 19.844 13.2
"1978-10-01" 17.954 12.1
"1978-12-01" 11.675 8.4
"1968-01-01" 17.896 1.9
"1968-02-01" 16.864 1.3
"1968-03-01" 16.01 1.9
"1968-04-01" 16.807 3.8
"1968-05-01" 15.925 5.3
"1968-06-01" 13.113 8.8
"1968-07-01" 16.177 11.6
"1968-08-01" 16.401 12.6
"1968-09-01" 13.8 13.1
"1968-10-01" 22.375 11.5
"1968-11-01" 21.878 9.2
"1968-12-01" 18.425 5.8
"1969-01-01" 18.3 3.4
"1969-02-01" 20.936 2.1
"1969-03-01" 17.633 0.4
"1969-04-01" 18.206 2.8
"1969-05-01" 17.55 5.1
"1969-06-01" 16.75 7.7
"1969-07-01" 21.45 10.7
"1969-10-01" 18.175 12.3
"1969-11-01" 19.625 8.8
"1969-12-01" 21.35 4.2
"1970-01-01" 16.9 0.4
"1970-04-01" 17.7 2
"1970-05-01" 17.25 5.2
"1970-06-01" 16.222 8.1
"1970-07-01" 22.142 10.3
"1970-12-01" 13.169 6.4
"1971-06-01" 15.903 9.6
"1971-09-01" 19.145 15
"1971-12-01" 21.028 5.2
"1972-01-01" 19.75 2.5
"1972-03-01" 18.148 1.9
"1972-05-01" 18.003 6
"1972-06-01" 25.898 8.2
"1975-01-01" 21.504 5
"1975-02-01" 15.776 4.8
"1975-03-01" 12.937 4.5
"1975-04-01" 13.555 4.4
"1975-05-01" 18.525 7.8
"1975-07-01" 15.858 11.6
"1975-08-01" 16.808 12.8
"1975-09-01" 19.281 14.2
"1975-10-01" 19.147 13.2
"1975-11-01" 19.122 9.3
"1976-01-01" 24.2 3.7
"1976-02-01" 18.53 1.4
"1976-03-01" 16.2 1.6
"1976-05-01" 10.99 5.7
"1976-07-01" 18.688 11.1
"1976-08-01" 18.65 15
"1976-09-01" 14.564 15.2
"1976-10-01" 15.412 12.6
"1976-11-01" 19.023 8.8
"1976-12-01" 26.872 5.1
"1977-01-01" 17.696 1.7
"1977-02-01" 18.134 1.4
"1977-03-01" 19.221 2.2
"1977-04-01" 20.602 4.2
"1977-05-01" 17.799 5.9
"1977-06-01" 17.868 7.5
"1977-07-01" 18.759 11.6
"1977-08-01" 12.873 12
"1977-09-01" 15.245 12.8
"1977-10-01" 17 12.3
"1977-11-01" 20.396 9.5
"1977-12-01" 16.273 5.7
"1978-01-01" 19.263 3.7
"1978-02-01" 16.295 1.8
"1978-03-01" 20.495 1.9
"1978-04-01" 16.504 3.1
"1978-05-01" 14.384 6.1
"1978-06-01" 18.781 11.3
"1978-07-01" 22.374 9.1
"1978-08-01" 21.49 12.2
"1978-09-01" 21.545 13.2
"1978-10-01" 19.255 12.1
"1978-12-01" 16.105 8.4
"1968-01-01" 18.52 1.9
"1968-02-01" 17.835 1.3
"1968-03-01" 16.646 1.9
"1968-04-01" 19.05 3.8
"1968-05-01" 18.15 5.3
"1968-06-01" 17.29 8.8
"1968-07-01" 20.964 11.6
"1968-08-01" 20.563 12.6
"1968-09-01" 17.95 13.1
"1968-10-01" 23.833 11.5
"1968-11-01" 21.674 9.2
"1968-12-01" 19.267 5.8
"1969-01-01" 19.65 3.4
"1969-02-01" 22.537 2.1
"1969-03-01" 18.275 0.4
"1969-04-01" 20.434 2.8
"1969-05-01" 19.507 5.1
"1969-06-01" 18.95 7.7
"1969-07-01" 24.475 10.7
"1969-10-01" 21.825 12.3
"1969-11-01" 21.65 8.8
"1969-12-01" 21.4 4.2
"1970-01-01" 19.925 0.4
