"ID_sampling" "ID_Trawling_Locations" "ID_date" "ID_Trawling_Locations" "station_name" "station_codename" "ID_date" "dates"
1 6 41 6 "Vejsnäs Rinne" "VEJSN RINN" 41 "1971-03-03"
2 6 42 6 "Vejsnäs Rinne" "VEJSN RINN" 42 "1971-03-04"
3 6 43 6 "Vejsnäs Rinne" "VEJSN RINN" 43 "1971-04-15"
4 2 44 2 "Millionenviertel" "MIOVIERTEL" 44 "1971-05-03"
5 2 14 2 "Millionenviertel" "MIOVIERTEL" 14 "1971-05-04"
6 1 14 1 "Suederfahrt" "SUED.FAHRT" 14 "1971-05-04"
7 6 45 6 "Vejsnäs Rinne" "VEJSN RINN" 45 "1971-06-21"
8 6 46 6 "Vejsnäs Rinne" "VEJSN RINN" 46 "1971-06-22"
9 2 47 2 "Millionenviertel" "MIOVIERTEL" 47 "1971-06-23"
10 1 47 1 "Suederfahrt" "SUED.FAHRT" 47 "1971-06-23"
11 2 48 2 "Millionenviertel" "MIOVIERTEL" 48 "1971-07-08"
12 2 49 2 "Millionenviertel" "MIOVIERTEL" 49 "1971-08-18"
13 1 50 1 "Suederfahrt" "SUED.FAHRT" 50 "1971-10-27"
14 6 51 6 "Vejsnäs Rinne" "VEJSN RINN" 51 "1971-11-02"
15 2 52 2 "Millionenviertel" "MIOVIERTEL" 52 "1971-12-22"
16 6 53 6 "Vejsnäs Rinne" "VEJSN RINN" 53 "1971-12-23"
17 6 54 6 "Vejsnäs Rinne" "VEJSN RINN" 54 "1972-01-04"
18 6 55 6 "Vejsnäs Rinne" "VEJSN RINN" 55 "1972-02-14"
19 2 56 2 "Millionenviertel" "MIOVIERTEL" 56 "1972-03-09"
20 2 20 2 "Millionenviertel" "MIOVIERTEL" 20 "1975-04-17"
21 2 21 2 "Millionenviertel" "MIOVIERTEL" 21 "1975-07-02"
22 6 57 6 "Vejsnäs Rinne" "VEJSN RINN" 57 "1975-07-21"
23 6 58 6 "Vejsnäs Rinne" "VEJSN RINN" 58 "1975-08-11"
24 2 22 2 "Millionenviertel" "MIOVIERTEL" 22 "1975-09-17"
25 2 59 2 "Millionenviertel" "MIOVIERTEL" 59 "1976-01-08"
26 1 60 1 "Suederfahrt" "SUED.FAHRT" 60 "1976-02-10"
27 1 61 1 "Suederfahrt" "SUED.FAHRT" 61 "1976-02-11"
28 2 24 2 "Millionenviertel" "MIOVIERTEL" 24 "1976-02-18"
29 6 62 6 "Vejsnäs Rinne" "VEJSN RINN" 62 "1976-02-19"
30 2 63 2 "Millionenviertel" "MIOVIERTEL" 63 "1976-03-24"
31 5 64 5 "Dorschmulde" "DORSCHMULD" 64 "1976-04-29"
32 6 64 6 "Vejsnäs Rinne" "VEJSN RINN" 64 "1976-04-29"
33 2 26 2 "Millionenviertel" "MIOVIERTEL" 26 "1976-06-24"
34 6 65 6 "Vejsnäs Rinne" "VEJSN RINN" 65 "1976-06-25"
35 6 66 6 "Vejsnäs Rinne" "VEJSN RINN" 66 "1977-02-23"
36 6 31 6 "Vejsnäs Rinne" "VEJSN RINN" 31 "1977-04-26"
37 6 32 6 "Vejsnäs Rinne" "VEJSN RINN" 32 "1977-07-06"
38 6 33 6 "Vejsnäs Rinne" "VEJSN RINN" 33 "1977-08-24"
39 6 67 6 "Vejsnäs Rinne" "VEJSN RINN" 67 "1977-12-12"
40 6 68 6 "Vejsnäs Rinne" "VEJSN RINN" 68 "1978-06-13"
41 2 68 2 "Millionenviertel" "MIOVIERTEL" 68 "1978-06-13"
42 6 69 6 "Vejsnäs Rinne" "VEJSN RINN" 69 "1976-08-19"
43 6 70 6 "Vejsnäs Rinne" "VEJSN RINN" 70 "1976-12-21"
44 2 71 2 "Millionenviertel" "MIOVIERTEL" 71 "1978-08-15"
45 2 72 2 "Millionenviertel" "MIOVIERTEL" 72 "1978-10-16"
46 6 73 6 "Vejsnäs Rinne" "VEJSN RINN" 73 "1978-10-17"
47 5 73 5 "Dorschmulde" "DORSCHMULD" 73 "1978-10-17"
48 1 59 1 "Suederfahrt" "SUED.FAHRT" 59 "1976-01-08"
49 1 74 1 "Suederfahrt" "SUED.FAHRT" 74 "1971-06-03"
50 2 50 2 "Millionenviertel" "MIOVIERTEL" 50 "1971-10-27"
51 1 75 1 "Suederfahrt" "SUED.FAHRT" 75 "1971-12-09"
52 6 76 6 "Vejsnäs Rinne" "VEJSN RINN" 76 "1972-01-03"
53 6 77 6 "Vejsnäs Rinne" "VEJSN RINN" 77 "1972-10-30"
54 2 78 2 "Millionenviertel" "MIOVIERTEL" 78 "1975-04-18"
55 5 77 5 "Dorschmulde" "DORSCHMULD" 77 "1972-10-30"
56 6 56 6 "Vejsnäs Rinne" "VEJSN RINN" 56 "1972-03-09"
57 2 58 2 "Millionenviertel" "MIOVIERTEL" 58 "1975-08-11"
58 1 79 1 "Suederfahrt" "SUED.FAHRT" 79 "1977-01-06"
59 1 80 1 "Suederfahrt" "SUED.FAHRT" 80 "1976-01-07"
60 7 40 7 "Hohwachter Bucht" "HOHWACHT B" 40 "1978-12-12"
61 6 71 6 "Vejsnäs Rinne" "VEJSN RINN" 71 "1978-08-15"
62 5 81 5 "Dorschmulde" "DORSCHMULD" 81 "1977-12-14"
63 5 32 5 "Dorschmulde" "DORSCHMULD" 32 "1977-07-06"
64 3 82 3 "Boknis Eck" "BOKNIS ECK" 82 "1971-03-16"
65 3 83 3 "Boknis Eck" "BOKNIS ECK" 83 "1971-03-23"
66 3 84 3 "Boknis Eck" "BOKNIS ECK" 84 "1971-04-16"
67 3 85 3 "Boknis Eck" "BOKNIS ECK" 85 "1972-01-10"
68 3 86 3 "Boknis Eck" "BOKNIS ECK" 86 "1972-01-24"
69 3 87 3 "Boknis Eck" "BOKNIS ECK" 87 "1972-02-15"
70 3 88 3 "Boknis Eck" "BOKNIS ECK" 88 "1972-03-16"
71 5 89 5 "Dorschmulde" "DORSCHMULD" 89 "1971-01-06"
72 5 90 5 "Dorschmulde" "DORSCHMULD" 90 "1971-03-01"
73 5 82 5 "Dorschmulde" "DORSCHMULD" 82 "1971-03-16"
74 5 91 5 "Dorschmulde" "DORSCHMULD" 91 "1971-03-24"
75 5 43 5 "Dorschmulde" "DORSCHMULD" 43 "1971-04-15"
76 5 51 5 "Dorschmulde" "DORSCHMULD" 51 "1971-11-02"
77 5 92 5 "Dorschmulde" "DORSCHMULD" 92 "1971-12-07"
78 5 93 5 "Dorschmulde" "DORSCHMULD" 93 "1971-12-21"
79 5 85 5 "Dorschmulde" "DORSCHMULD" 85 "1972-01-10"
80 5 86 5 "Dorschmulde" "DORSCHMULD" 86 "1972-01-24"
