"latin_name","Density","Biomass","ID_sampling","station_name","dates","Temperature","Salinity"
"Abra alba",297.7777778,15.3,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Abra alba",22.22222222,2.111111111,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Abra alba",75.55555556,7.788888889,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Abra alba",64.44444444,6.077777778,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Abra alba",122.2222222,26.85555556,206,"Suederfahrt","1968-11-15",9.2,21.917
"Abra alba",93.33333333,17.46666667,207,"Suederfahrt","1969-01-15",3.4,18.675
"Abra alba",8.888888889,0.244444444,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Abra alba",16.66666667,0.911111111,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Abra alba",14.44444444,0.9,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Abra alba",65.55555556,1.177777778,215,"Suederfahrt","1971-09-06",15,17.6625
"Abra alba",61.11111111,2.533333333,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Abra alba",0,0,217,"Suederfahrt","1972-01-25",2.5,19.74
"Abra alba",86.66666667,5.022222222,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Abra alba",340,37.58888889,222,"Suederfahrt","1975-12-15",3.7,24.2
"Abra alba",304.4444444,42.66666667,223,"Suederfahrt","1976-02-18",1.6,18
"Abra alba",880,31.85555556,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Arctica islandica",15.55555556,488.5444444,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Arctica islandica",10,570.0333333,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Arctica islandica",20,831.8444444,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Arctica islandica",14.44444444,475.8777778,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Arctica islandica",8.888888889,386.5,206,"Suederfahrt","1968-11-15",9.2,21.917
"Arctica islandica",31.11111111,834.4888889,207,"Suederfahrt","1969-01-15",3.4,18.675
"Arctica islandica",12.22222222,538.6666667,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Arctica islandica",8.888888889,321.1111111,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Arctica islandica",NA,NA,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Arctica islandica",36.66666667,970.4444444,215,"Suederfahrt","1971-09-06",15,17.6625
"Arctica islandica",13.33333333,442.6666667,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Arctica islandica",23.33333333,870.6666667,217,"Suederfahrt","1972-01-25",2.5,19.74
"Arctica islandica",23.33333333,975.7777778,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Arctica islandica",27.77777778,340.4444444,222,"Suederfahrt","1975-12-15",3.7,24.2
"Arctica islandica",28.88888889,976.7777778,223,"Suederfahrt","1976-02-18",1.6,18
"Arctica islandica",56.66666667,193.2222222,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Astarte sp",37.77777778,24.62222222,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Astarte sp",42.22222222,24.75555556,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Astarte sp",90,49.44444444,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Astarte sp",33.33333333,21.6,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Astarte sp",155.5555556,91.67777778,206,"Suederfahrt","1968-11-15",9.2,21.917
"Astarte sp",24.44444444,2.922222222,207,"Suederfahrt","1969-01-15",3.4,18.675
"Astarte sp",88.33333333,116.6333333,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Astarte sp",173.3333333,121.1222222,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Astarte sp",32.22222222,10.55555556,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Astarte sp",81.11111111,22.38888889,215,"Suederfahrt","1971-09-06",15,17.6625
"Astarte sp",176.6666667,135.7777778,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Astarte sp",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Astarte sp",185.5555556,84.08888889,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Astarte sp",71.11111111,32.5,222,"Suederfahrt","1975-12-15",3.7,24.2
"Astarte sp",13.33333333,1.388888889,223,"Suederfahrt","1976-02-18",1.6,18
"Astarte sp",171.1111111,86.13333333,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Diastylis rathkei",27.77777778,0.4,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Diastylis rathkei",45.55555556,0.655555556,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Diastylis rathkei",206.6666667,1.966666667,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Diastylis rathkei",164.4444444,2.522222222,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Diastylis rathkei",115.5555556,2,206,"Suederfahrt","1968-11-15",9.2,21.917
"Diastylis rathkei",23.33333333,0.544444444,207,"Suederfahrt","1969-01-15",3.4,18.675
"Diastylis rathkei",218.3333333,1.45,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Diastylis rathkei",341.1111111,3.466666667,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Diastylis rathkei",1175.555556,2.511111111,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Diastylis rathkei",2183.333333,10.77777778,215,"Suederfahrt","1971-09-06",15,17.6625
"Diastylis rathkei",884.4444444,6.888888889,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Diastylis rathkei",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Diastylis rathkei",251.1111111,2.211111111,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Diastylis rathkei",136.6666667,2.244444444,222,"Suederfahrt","1975-12-15",3.7,24.2
"Diastylis rathkei",83.33333333,1.344444444,223,"Suederfahrt","1976-02-18",1.6,18
"Diastylis rathkei",360,5.577777778,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Gastrosaccus spinifer",0,0,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Gastrosaccus spinifer",0,0,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Gastrosaccus spinifer",0,0,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Gastrosaccus spinifer",3.333333333,0.022222222,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Gastrosaccus spinifer",4.444444444,0.044444444,206,"Suederfahrt","1968-11-15",9.2,21.917
"Gastrosaccus spinifer",3.333333333,0.033333333,207,"Suederfahrt","1969-01-15",3.4,18.675
"Gastrosaccus spinifer",2.222222222,0.022222222,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Gastrosaccus spinifer",1.111111111,0.011111111,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Gastrosaccus spinifer",0,0,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Gastrosaccus spinifer",0,0,215,"Suederfahrt","1971-09-06",15,17.6625
"Gastrosaccus spinifer",3.333333333,0.022222222,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Gastrosaccus spinifer",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Gastrosaccus spinifer",14.44444444,0.1,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Gastrosaccus spinifer",12.22222222,0.055555556,222,"Suederfahrt","1975-12-15",3.7,24.2
"Gastrosaccus spinifer",2.222222222,0.011111111,223,"Suederfahrt","1976-02-18",1.6,18
"Gastrosaccus spinifer",0,0,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Nephthys sp",50,12.57777778,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Nephthys sp",64.44444444,14.87777778,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Nephthys sp",80,14.92222222,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Nephthys sp",77.77777778,10.15555556,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Nephthys sp",50,8.4,206,"Suederfahrt","1968-11-15",9.2,21.917
"Nephthys sp",63.33333333,10.83333333,207,"Suederfahrt","1969-01-15",3.4,18.675
"Nephthys sp",82.22222222,19.63333333,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Nephthys sp",74.44444444,19.35555556,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Nephthys sp",97.77777778,20.43333333,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Nephthys sp",95.55555556,18.71111111,215,"Suederfahrt","1971-09-06",15,17.6625
"Nephthys sp",71.11111111,16.4,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Nephthys sp",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Nephthys sp",83.33333333,16.27777778,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Nephthys sp",77.77777778,17.25555556,222,"Suederfahrt","1975-12-15",3.7,24.2
"Nephthys sp",81.11111111,11.44444444,223,"Suederfahrt","1976-02-18",1.6,18
"Nephthys sp",68.88888889,12.44444444,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Ophiura albida",190,5.1,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Ophiura albida",143.3333333,3.655555556,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Ophiura albida",95.55555556,1.911111111,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Ophiura albida",47.77777778,1.088888889,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Ophiura albida",111.1111111,3.188888889,206,"Suederfahrt","1968-11-15",9.2,21.917
"Ophiura albida",53.33333333,2.233333333,207,"Suederfahrt","1969-01-15",3.4,18.675
"Ophiura albida",106.6666667,1.644444444,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Ophiura albida",103.3333333,6.1,6,"Suederfahrt","1971-05-04",9.6,22.2406
