"ID_Predators_individuals","ID_species","Lifestage","Sex","Length","stomach_part","number_of_prey","total_weight_g","latin_name","ID_sampling","station_name","dates","aggregated.dates","key.to.environment","corresponding.benthic.date","time.difference","temperature","Salinity"
8,6,1,10,23,"Vorderdarm oder Magen",1,1,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
8,6,1,10,23,"Mitteldarm",28,32,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
8,6,1,10,23,"Mitteldarm",NA,7,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
9,6,1,20,24,"Vorderdarm oder Magen",1,NA,"Microdeutopus sp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
9,6,1,20,24,"Vorderdarm oder Magen",7,11,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
9,6,1,20,24,"Mitteldarm",60,78,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
9,6,1,20,24,"Mitteldarm",NA,12,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
9,6,1,20,24,"Mitteldarm",1,3,"Abra alba",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
10,6,1,10,20,"Mitteldarm",13,19,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
10,6,1,10,20,"Mitteldarm",NA,9,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
10,6,1,10,20,"Mitteldarm",NA,32,"Ophiura albida",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
10,6,1,10,20,"Mitteldarm",1,1,"Gastosaccus spinifer",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
11,6,1,10,15,"Vorderdarm oder Magen",1,3,"Harmothoe spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
11,6,1,10,15,"Mitteldarm",NA,3,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
11,6,1,10,15,"Mitteldarm",NA,5,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
12,6,1,10,13,"Mitteldarm",6,6,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
12,6,1,10,13,"Mitteldarm",NA,3,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
12,6,1,10,13,"Vorderdarm oder Magen",1,1,"Siphons",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
12,6,1,10,13,"Mitteldarm",1,1,"Pectinaria koreni",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
12,6,1,10,13,"Mitteldarm",1,4,"Crangon crangon",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
12,6,1,10,13,"Vorderdarm oder Magen",2,3,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Mitteldarm",NA,4,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Mitteldarm",1,7,"Crangon crangon",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Mitteldarm",5,7,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Vorderdarm oder Magen",2,2,"Crangon crangon",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Mitteldarm",NA,18,"Not animals, div.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Mitteldarm",NA,107,"Ophiura albida",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
13,6,4,10,25,"Vorderdarm oder Magen",11,47,"Ophiura albida",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
14,6,1,10,12,"Vorderdarm oder Magen",11,7,"Microdeutopus sp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
14,6,1,10,12,"Mitteldarm",NA,5,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
14,6,1,10,12,"Mitteldarm",NA,9,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
14,6,1,10,12,"Vorderdarm oder Magen",2,3,"Harmothoe spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
15,6,1,20,13,"Mitteldarm",NA,2,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
15,6,1,20,13,"Mitteldarm",1,1,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
15,6,1,20,13,"Mitteldarm",NA,8,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
15,6,1,20,13,"Vorderdarm oder Magen",4,41,"Nephthys spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
16,6,1,10,12,"Mitteldarm",NA,3,"Harmothoe spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
16,6,1,10,12,"Mitteldarm",NA,3,"Microdeutopus sp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
